source_node_id,target_node_id,bridge_score,semantic_score,keyword_score,function_match,is_mapped,expert_tier,relevance,rationale,node2vec_score
aiuc_1:A003,owasp_agentic:ASI05,0.1230158730158731,0.43874290467418237,0.04258982856324143,1.0,0,None,None,None,0.4243441851867592
aiuc_1:A003,owasp_agentic:ASI06,0.14604810996563597,0.6018105495500954,0.06992405167521301,1.0,1,Direct,Primary,SCOPE,0.5856166552192856
aiuc_1:A003,owasp_agentic:ASI07,0.12526096033402928,0.6861228932149548,0.0974987215514366,1.0,0,None,None,None,0.5513838414366499
aiuc_1:A003,owasp_agentic:ASI08,0.12861736334405163,0.17010324681784564,0.057730131029859466,1.0,0,None,None,None,0.3749488721872444
aiuc_1:A003,owasp_agentic:ASI09,0.14610778443113775,0.6227678507628472,0.02729758018131444,1.0,1,Related,Secondary,SCOPE,0.48394637650547556
aiuc_1:A003,owasp_agentic:ASI10,0.12093023255813953,0.48706539041447344,0.08074082976815097,1.0,0,None,None,None,0.36867393292544476
aiuc_1:A004,owasp_agentic:ASI01,0.14514285714285713,0.49133167352405527,0.010699461865451863,1.0,1,Related,Secondary,SCOPE,0.4507356342997025
aiuc_1:A004,owasp_agentic:ASI02,0.1419437340153454,0.7456836205368178,0.014453068859998239,1.0,1,Related,Secondary,SCOPE,0.575674408060304
aiuc_1:A004,owasp_agentic:ASI03,0.13977128335451094,0.5200202366972246,0.017107171526249618,1.0,1,Related,Secondary,SCOPE,0.5216287753733884
aiuc_1:A004,owasp_agentic:ASI04,0.13700564971751425,0.4339235893533054,0.00087606858285379,1.0,1,Related,Secondary,SCOPE,0.5212027060684525
aiuc_1:A004,owasp_agentic:ASI05,0.11785297549591606,0.6341768505845582,0.010618360161892841,1.0,0,None,None,None,0.338266175155596
aiuc_1:A004,owasp_agentic:ASI06,0.1420454545454547,0.132461132367825,0.017525570753910254,1.0,0,None,None,None,0.4207261001262122
aiuc_1:A004,owasp_agentic:ASI07,0.10016977928692707,0.8828499006101472,0.011451116273576782,1.0,0,None,None,None,0.41736116575843013
aiuc_1:A004,owasp_agentic:ASI08,0.09891598915989168,0.33216533843736357,0.00637732080880642,1.0,0,None,None,None,0.2434752787767205
aiuc_1:A004,owasp_agentic:ASI09,0.1058091286307053,0.40606969005118587,0.012722593510692921,1.0,0,None,None,None,0.3010773619375324
aiuc_1:A004,owasp_agentic:ASI10,0.10277492291880774,0.3852863511357304,0.014881624059815045,1.0,0,None,None,None,0.30146050374191935
aiuc_1:A005,owasp_agentic:ASI01,0.07989347536617847,0.4208620800100021,0.06524819709629542,0.0,0,None,None,None,0.3290598079323129
aiuc_1:A005,owasp_agentic:ASI02,0.09175738724727851,0.629873721860908,0.06061648816737813,1.0,0,None,None,None,0.4240018217332512
aiuc_1:A005,owasp_agentic:ASI03,0.08448540706605234,0.6979727967137385,0.007420658640257831,1.0,0,None,None,None,0.3777575931624727
aiuc_1:A005,owasp_agentic:ASI04,0.05317324185248716,0.5213721459054238,0.056960609224322556,1.0,0,None,None,None,0.26065738739175803
aiuc_1:A005,owasp_agentic:ASI05,0.09728183118741071,0.43136484387190216,0.06116176212769778,1.0,0,None,None,None,0.3925929737059393
aiuc_1:A005,owasp_agentic:ASI06,0.12271062271062291,0.12067678466194677,0.07129260660367737,1.0,1,Direct,Primary,ISOLATE,0.6759610990119378
aiuc_1:A005,owasp_agentic:ASI07,0.060324825986078905,0.8781243038416684,0.0559012721305173,1.0,0,None,None,None,0.36813334355728683
aiuc_1:A005,owasp_agentic:ASI08,0.0689655172413794,0.4031255618446414,0.026445985956654885,0.0,0,None,None,None,0.3054882511062592
